### Protein	3DFI name	plDDT score	AlphaFold ranked name	AlphaFold unranked name
ECU01_0450	ECU01_0450-m1.pdb	86.59049602914068	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0450	ECU01_0450-m2.pdb	85.92462307523961	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0450	ECU01_0450-m3.pdb	85.69750481669979	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0450	ECU01_0450-m4.pdb	84.64640482533059	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0450	ECU01_0450-m5.pdb	84.55211627756171	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0460	ECU01_0460-m1.pdb	94.0486971968835	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0460	ECU01_0460-m2.pdb	93.98925122727464	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0460	ECU01_0460-m3.pdb	93.46883219148884	ranked_2.pdb	unrelaxed_model_5.pdb
ECU01_0460	ECU01_0460-m4.pdb	92.14164061176778	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0460	ECU01_0460-m5.pdb	91.32644727995445	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0470	ECU01_0470-m1.pdb	70.82372778607572	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0470	ECU01_0470-m2.pdb	68.2587480796383	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0470	ECU01_0470-m3.pdb	67.91080089922386	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0470	ECU01_0470-m4.pdb	65.88421641281091	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0470	ECU01_0470-m5.pdb	65.53255533498806	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0480	ECU01_0480-m1.pdb	90.62797897473044	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0480	ECU01_0480-m2.pdb	90.514300375768	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0480	ECU01_0480-m3.pdb	90.34166062803182	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0480	ECU01_0480-m4.pdb	89.75983401800697	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0480	ECU01_0480-m5.pdb	89.15770888505236	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0490	ECU01_0490-m1.pdb	69.49243075185129	ranked_0.pdb	unrelaxed_model_4.pdb
ECU01_0490	ECU01_0490-m2.pdb	68.8722720248351	ranked_1.pdb	unrelaxed_model_5.pdb
ECU01_0490	ECU01_0490-m3.pdb	68.23459752033683	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0490	ECU01_0490-m4.pdb	67.8848748907008	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0490	ECU01_0490-m5.pdb	67.53406794483456	ranked_4.pdb	unrelaxed_model_1.pdb
ECU01_0500	ECU01_0500-m1.pdb	83.56775860941734	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0500	ECU01_0500-m2.pdb	82.1403418287169	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0500	ECU01_0500-m3.pdb	81.37174381234233	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0500	ECU01_0500-m4.pdb	81.31455978426095	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0500	ECU01_0500-m5.pdb	80.75672079461644	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0510	ECU01_0510-m1.pdb	91.35193720570358	ranked_0.pdb	unrelaxed_model_5.pdb
ECU01_0510	ECU01_0510-m2.pdb	89.16913124503517	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0510	ECU01_0510-m3.pdb	89.142020245504	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0510	ECU01_0510-m4.pdb	88.22025013533431	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0510	ECU01_0510-m5.pdb	84.13736248834203	ranked_4.pdb	unrelaxed_model_3.pdb
ECU01_0520	ECU01_0520-m1.pdb	80.53086915537243	ranked_0.pdb	unrelaxed_model_4.pdb
ECU01_0520	ECU01_0520-m2.pdb	80.38346756422582	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0520	ECU01_0520-m3.pdb	79.96338775236619	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0520	ECU01_0520-m4.pdb	79.11735266423204	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0520	ECU01_0520-m5.pdb	78.52345914269827	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0525	ECU01_0525-m1.pdb	57.24436187380934	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0525	ECU01_0525-m2.pdb	55.9971398964864	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0525	ECU01_0525-m3.pdb	55.79963435478118	ranked_2.pdb	unrelaxed_model_5.pdb
ECU01_0525	ECU01_0525-m4.pdb	53.00108754066357	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0525	ECU01_0525-m5.pdb	49.431717338064225	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0530	ECU01_0530-m1.pdb	58.92818761584774	ranked_0.pdb	unrelaxed_model_1.pdb
